BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,MonthlyRate,DailyRate,HourlyRate
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,13257,1127,52
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,15000,1031,45
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,14506,1189,87
Travel_Rarely,Research & Development,Medical,Female,Manager,Single,5615,1354,45
Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Married,22952,1467,92
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,2561,922,39
Travel_Frequently,Sales,Life Sciences,Male,Manager,Married,19494,394,92
Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,22310,1312,96
Non-Travel,Sales,Marketing,Male,Sales Executive,Married,15480,750,95
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,4510,441,72
Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single,6462,684,51
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,20739,249,76
Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married,23300,841,46
Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,3465,147,94
Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,26820,528,50
Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,19299,594,100
Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,5549,470,96
Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,16090,957,72
Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,6645,809,77
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,24788,542,71
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,21196,802,96
Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Married,8916,1355,61
Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,2819,216,84
Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,25150,1150,53
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,14590,1329,47
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,24835,959,41
Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,13982,1240,48
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,10224,1033,41
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,9752,1316,83
Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,2302,364,32
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,23910,438,75
Travel_Frequently,Sales,Medical,Male,Sales Executive,Divorced,22812,689,35
Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Divorced,10415,201,84
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,11162,1427,35
Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,12888,857,91
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,6961,933,94
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,16102,1181,79
Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,8504,1395,54
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,11439,662,94
Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,16047,1436,34
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,10901,194,60
Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,15589,967,43
Non-Travel,Research & Development,Technical Degree,Male,Manufacturing Director,Married,26283,1496,41
Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,13983,1169,34
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,11873,1145,75
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,8552,630,67
Travel_Frequently,Sales,Marketing,Female,Sales Representative,Married,11314,303,75
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,11992,1256,80
Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,5970,691,57
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,6672,440,42
Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,23402,334,83
Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,25326,1450,79
Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,17053,1452,53
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,4609,465,56
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,8053,1339,41
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,12930,702,59
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,12430,120,43
Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,13364,1157,51
Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,20989,602,100
Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,15062,1480,30
Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,11012,111,66
Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,6319,1268,30
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,13939,713,67
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,10515,134,90
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,9241,303,47
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,2137,526,92
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,6319,1380,75
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,6984,140,95
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,5711,629,95
Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,21728,1356,70
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,3425,328,86
Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,26250,1084,57
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,4673,931,72
Travel_Rarely,Research & Development,Medical,Female,Manager,Married,6499,989,46
Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,13339,692,61
Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,14074,1069,45
Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single,7192,313,98
Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,5678,699,65
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,11781,894,99
Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,15497,556,50
Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,5228,1344,37
Non-Travel,Research & Development,Medical,Male,Manager,Married,20462,1195,65
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,22977,290,65
Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,15986,138,37
Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Divorced,16439,926,36
Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,7259,1261,88
Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married,4185,1084,54
Travel_Frequently,Research & Development,Technical Degree,Male,Manufacturing Director,Married,9679,472,60
Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,23793,1002,92
Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced,5972,878,43
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,16523,905,99
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,11354,1180,70
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,24525,121,35
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,12392,1136,60
Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,7703,635,73
Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Married,14242,1151,63
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,12368,644,97
Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,25812,1045,32
Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Single,20925,829,88
Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,12916,1242,90
Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,15736,1469,81
Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,8556,1005,88
Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,14674,896,75
Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,22967,334,52
Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,19757,992,85
Non-Travel,Sales,Medical,Female,Sales Executive,Single,16840,1052,57
Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,17011,1147,52
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,9945,1396,62
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,13248,147,47
Travel_Frequently,Research & Development,Other,Male,Research Director,Divorced,10056,663,47
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,9647,119,76
Non-Travel,Research & Development,Medical,Male,Manufacturing Director,Married,4381,979,90
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,8456,142,70
Travel_Frequently,Sales,Marketing,Male,Sales Representative,Divorced,2539,319,41
Travel_Frequently,Sales,Medical,Female,Sales Executive,Married,6599,1413,42
Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,9096,944,92
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,14961,896,86
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,3300,1323,89
Travel_Rarely,Research & Development,Technical Degree,Male,Manager,Married,4933,532,58
Travel_Rarely,Human Resources,Medical,Male,Human Resources,Married,25657,818,52
Travel_Rarely,Sales,Medical,Female,Manager,Divorced,24118,854,68
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,22149,813,58
Travel_Rarely,Sales,Marketing,Female,Manager,Married,7744,1034,80
Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,21509,465,39
Non-Travel,Sales,Life Sciences,Male,Manager,Single,21030,771,79
Travel_Rarely,Sales,Life Sciences,Female,Sales Representative,Married,20990,1401,56
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,9571,515,62
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,15417,1431,96
Non-Travel,Sales,Marketing,Male,Sales Executive,Married,12069,976,100
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,19877,1411,36
Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Divorced,24447,1300,62
Travel_Rarely,Research & Development,Other,Male,Manager,Married,15970,252,70
Travel_Frequently,Research & Development,Medical,Male,Research Director,Divorced,13523,1327,73
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,14776,832,63
Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,23687,470,84
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,18697,1017,83
Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,5118,1199,77
Travel_Frequently,Research & Development,Medical,Male,Manufacturing Director,Divorced,22573,504,61
Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,Single,6420,505,64
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,22673,665,60
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,23016,916,82
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,10732,1247,45
Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,7505,685,62
Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Divorced,8007,269,56
Travel_Rarely,Research & Development,Medical,Male,Research Director,Divorced,5949,1416,49
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,23231,833,96
Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,11652,307,71
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,26062,1311,100
Non-Travel,Sales,Life Sciences,Male,Sales Executive,Married,19682,1327,39
Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,19737,128,84
Travel_Rarely,Sales,Technical Degree,Female,Manager,Married,14977,488,75
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,14935,529,79
Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,3687,1210,78
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,14408,1463,64
Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,18384,675,85
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,7501,1385,79
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,20251,1403,47
Travel_Rarely,Research & Development,Medical,Male,Manager,Single,18938,452,81
Non-Travel,Research & Development,Life Sciences,Male,Manager,Married,10268,666,88
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,2613,1158,94
Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,22825,228,98
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,10531,996,100
Non-Travel,Research & Development,Medical,Female,Research Director,Divorced,11677,728,80
Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Divorced,19100,1315,71
Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,19191,322,44
Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,26767,1479,84
Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Divorced,15815,797,96
Travel_Rarely,Research & Development,Medical,Male,Research Director,Married,21016,1070,45
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,24532,635,99
Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,20260,442,44
Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,15972,147,37
Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,22722,496,60
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,15881,1372,42
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,19920,920,43
Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,18899,688,82
Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,14180,1449,45
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,4488,1117,66
Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,25594,636,35
Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,26285,506,30
Travel_Frequently,Sales,Marketing,Female,Sales Representative,Divorced,3909,444,84
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,8450,950,48
Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,11411,889,53
Travel_Frequently,Sales,Marketing,Female,Sales Executive,Married,14864,555,77
Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,25233,230,54
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,5100,1232,96
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Married,7122,566,81
Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,16321,1302,84
Travel_Rarely,Sales,Life Sciences,Male,Manager,Single,15896,334,88
Travel_Rarely,Sales,Medical,Female,Sales Representative,Single,9724,812,69
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Single,4824,1476,68
Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,Married,12241,218,100
Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,10942,1132,48
Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Married,6927,1105,47
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,16985,906,91
Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Married,26707,849,81
Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,17056,390,32
Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,10077,691,86
Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,17822,106,62
Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,20308,1249,97
Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,7747,192,32
Travel_Frequently,Research & Development,Life Sciences,Female,Manager,Married,23364,553,74
Travel_Rarely,Research & Development,Medical,Male,Manager,Married,5355,117,99
Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,10675,185,33
Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Single,17810,1091,90
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,17747,723,85
Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,20938,1220,85
Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,Married,24624,588,65
Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,5242,1377,74
Travel_Rarely,Sales,Marketing,Male,Sales Executive,Divorced,7143,691,73
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,10557,1018,74
Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,24737,1157,84
Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,11934,1275,64
Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,Married,14034,798,48
Travel_Frequently,Research & Development,Medical,Male,Manager,Married,21141,672,54
Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,17778,1162,41
Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,4317,508,46
Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,16375,1482,42
Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,6227,559,82
Non-Travel,Sales,Marketing,Male,Sales Executive,Married,22107,210,73
Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,16885,928,31
Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,Married,9262,1001,43
Travel_Rarely,Research & Development,Other,Male,Research Scientist,Married,9278,549,75
Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,13273,1124,57
Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Married,4759,318,77
Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,7621,738,30
